UserName,Score,Komentar,Sentimen
Andi Arga,5,Wahai netizen + yang cerdas lagi budiman jangan selalu ikut tren Ghozali itu beda yak NFT itu marketplacenya para kreator. Tiap yang dijual disinj memiliki esensi dan estetika contoh Ghozali jualan dia laku keras karena keunikannya itu ada pada konsistensinya dia rela foto selama  tahun karena konsistensinya dan disitu letak keunikannya. Jangan karena ikut tren dan malas tiba-tiba mau upload selfie seenaknya masukin foto keluarga dan upload data pribadi.,Positive
DONI STEVEN,5,good app for got money,Positive
Andri Yanuar,1,Jangan lihat ke atas nanti tersandung.......... Wkwkwkwkwk ¤­¤­¤­¤­ lebih baik lihat ke bawah.......,Negative
"Cecep Foto,2,Kasi bintang  dulumau coba"" aja..moga"" lancar jaya..... Wkwkwkwk,Negative"
Anto Pagop,5,ok,Positive
Trama Wigraha Ginting,2,kita liat seberapa bodhnya org indonesia yg hanya menelan mentah aplikasi ini tanpa edukasi. ingin tenar dengan otak yg dangkal,Negative
Airul Fahruzi,5,Good,Positive
Aun PriyogoTM,5,mantap,Positive
Karimullah Mtd,5,Brafo,Positive
More Official,1,Apk ccd ga bisa di buka error trus Apk ngelag asu,Negative
Sudi Yono,3,Kurang stabil sistemnya,Neutral
Zainal Arifin,3,Tiba error padahal tadi lancar,Neutral
Belvana Selima,5,bagus bisa jual NFT kita disini,Positive
Ario Nariuyanto,5,mantappp,Positive
Juragan Bola,4,Masih Nyoba,Positive
Deddy Ferdiansyah,5,very good,Positive
Yongkhy Maradona,5,luarbiasa sangat menyenagkan,Positive
Eni Lestari,5,Good,Positive
Jack Bagjas,1,Banyak disalah gunakan oleh orang Indonesia yang menjual diri nya sendiri tolong untuk pihak aplikasi untuk seleksi karya seni bukan foto diri sendiri ataupun selain dari karya seni itu sendiri !!!,Negative
city sarah,4,good projeckk,Positive
Opeck Official,1,aplikasi eror..gak bisa buka apa. tulisannya eror semua,Negative
RAHMA FIRMA,5,oke banget,Positive
adisondavid silalahi,4,Good job,Positive
Input SDGs,4,aku sih yeeeees,Positive
Apasaja Oke,5,Ok,Positive
Nupi Pies,5,Goooood,Positive
Busro,3,mntap,Neutral
expresi cah ndeso,5,good,Positive
Dimensi Official,1,Kenapa apk ini error saat d buka,Negative
Cahya Gumelar,5,saya menjual photo saya dan terjual seharga  eth serasa mimpi jadi org kaya,Positive
Endd_endd ,2,kadg eror,Negative
Lukman Nurhakim,4,terbaik. ‘‘,Positive
ANTON HARYADI,5,very very lah,Positive
Vera Siahaan,5,Gak bisa Di dwoanload,Positive
Iswan Chachi,5,teh great,Positive
Andrianto Djiang,5,Membuka wawasan,Positive
Wisanggeni Suryo.S,5,oke,Positive
Rafli Ansyah,5,Keren,Positive
Sabda Maheswara Mardhika,5,Good,Positive
Zziie Gammee,3,Kok ada gas fee nya ya,Neutral
Muh Alaudin,5,Mantap,Positive
Fizan Aa,4,ia god,Positive
Marco _,5,Knpa opensea gua kagak bisa create/buat NFT... Bagi tau donk apa masalah nya... Hehehhe¤­¤­¤­,Positive
Lek Gaming,5,Good,Positive
ABLAHOCK Art,5,good,Positive
Nurfazira Ain,4,‘‘,Positive
Noise sound RELAXATION,5,good,Positive
Arya Adetiya,5,nice,Positive
An Dy,5,hebat ‘‘‘‘,Positive
tang kese,5,mntap,Positive
Glosst Dry,5,Kesini karena ghozali ˜¾‘ Tapi kok banyak yang upload mukanya ˜­,Positive
Al Damen King,5,gud,Positive
Aset hobby fish,5,keren banget,Positive
Marr SAIF_,5,Bagus x ini apliksi . Bnyak blajar ya kawan,Positive
Anna Mustifa,5,The best,Positive
Hartono Dsn,2, dulu lah,Negative
Rasmaida Tambunan,5,Ini membantu saya dalam memajukan pertumbuhan ekonomi. Dan juga membantu supaya terkenal. Saya sarankan utk di download karena app ini bagus sekali‘,Positive
Omega Pangarso,5,Joosss gandos,Positive
Saras Santoso,3,‘,Neutral
Siwa Bimantara,5,aplikasinya bagus semoga nft saya bisa terjual™,Positive
Hima wanto,3,tes again,Neutral
realme hp,5,Mantap buat rejeki sesorang bertambah,Positive
Asep Daryono,5,Okay,Positive
Yopi Dhana wiharta,1,tidak semudah itu fulkoso bisa jual photo loe padaada jalurnya dan sedikit keberuntungan bila ingin seperti ghozali.bodoh boleh tp tolol jangan.,Negative
Susy Simamora,5,Pemula,Positive
Jimmy Soeanto,5,great,Positive
Bikun aja,5,share my happiness memories by art. no matter sold or nah i will keep sharing my virtual journey. check my account : SimpLordTWOM ~pulse,Positive
Darlin EFENDI,5,good,Positive
Dedi Kusumanjani,5,Mantap,Positive
ahmad sukhi,5,top deh pokoknya,Positive
wulan safitri,5,Lagi viral orang + di aplikasi ini jadi penasaran ada apa akhirnya download deh˜‚,Positive
Muhammad agus rifani,1,kok gua buka apk nya kaya error gitu yahh kenpa gua mau jual nft mlah eror mau daftar gabisa apk tolol,Negative
Body ,5,mantap,Positive
lutfi adhari,5,the best,Positive
Awan Gunawan,5,selama itu aplikasi yg bisa ngasilin unag kasih bitang  ˜,Positive
Iketut Suardana,5,good‘‘‘,Positive
Rita Elvira,5,ok,Positive
Zul Kardiman,5,good locking,Positive
Whyoe Channel,5,‘‘‘‘,Positive
Bejo,5,baguslah,Positive
Dimas Bahaduri,1,Mboh,Negative
Putra pesibar,5,mantap,Positive
andik avanza,5,Good jobs,Positive
Agung Pribadi,5,harusnya tidak harus membuka web lg saat ingin melihat koleksi. bisa langsung di aplikasinya,Positive
Agustinus Sartono,1,Aplikasi Error,Negative
REVH_PRO,5,GG lah,Positive
Irsyamm,4,download karena mau liat foto selfie ghozaliâŽ foto muka koruptorâœ… #fyptiktok,Positive
Gaby Denisya Backer Leegstra,5,Bagus bisa membantu untuk mencari Koleksi NFT arts,Positive
home sweet home,5,easy use,Positive
Wahyudi Hidayatullah,5,Good App,Positive
Saiful Ahyar,5,be,Positive
Idham Adjamalie,4,good,Positive
Anwar San,1,Lumayan,Negative
Ahmad Nurdin,3,bagus,Neutral
bejita san,5,Good,Positive
warga sekitar,5,kesini gara-gara lord gozhali˜,Positive
Location L,5,smoga berkah,Positive
Musadad Husaini,5,bagus mudah mudahan bisa cuan ,Positive
firman juwanda,5,good aplication better thats all,Positive
kamil ,5,semoga sukses,Positive
Herwin Hendrianto,5,Bismillah semoga berkah¤²,Positive
Taufik Ahmad,5,Hallo kenapa tidak ada fitur Createnya ya....? Bikin akunnya kok gak bisa.....?,Positive
SUPRIYADI SUPRIYADI,5,Bagus sekali,Positive
Ricki Rinaldi,5,aplikasi bagus,Positive
ILHAM HERIAWAN,5,Good,Positive
Putra Wayan,5,Biar ga pada salah up foto liat di podcast dedi kombuser,Positive
Nocturno,5,mantaplah,Positive
Yousfi Bdg,5,good sangat baik,Positive
Ajii X,5,ISENG DOANG WKWK DOWNLOAD INI MAU LIAT WARGA TOLOL YANG JUAL FOTO KTPDLL,Positive
Lampa lao kalai,5,baik,Positive
M Arif Yulianto,5,Aplikasi yg bagusGood job developer!!!!!!!!!!!!!,Positive
CIBIK GOKIL,5,top ‘,Positive
Rizky Surya Pratama,5,mantap,Positive
andhra andhra,3,Kalian download nft buat foto ktp itu adalah hal yang konyol terus kalian foto muka sendiri ngikutin Ghozali kan,Neutral
Opisial Wira,5,Liatin orang orang udick,Positive
irwan es ye te,5,gue belum update terbaru gitu aja,Positive
Anggie Bean,5,wow,Positive
erwin tahir,5,sangat bermanfaat,Positive
Nia Nasifa,3,bgus jg kreatif,Neutral
Awan Kelana Official New,5,sangat bermanfaat semoga melancarkan rejeki...,Positive
Rajawali HRF,5,very good website,Positive
Nopz Official,5,‘‘,Positive
Mirna Wati,5,Mudahan yang ada dsni menjadi org sukses semua..doain juga spy Poto saya laku,Positive
Stasiun Game Banyuwangi,5,Bismillah,Positive
Hendri Acai,5,good,Positive
Eka prasetyo,5,bismillah semoga sukses,Positive
Siz Woo,5,good,Positive
Ranggi Arief Rajendra,5,mantabb,Positive
Aldi Sprnto,5,mantap,Positive
arya jpro,5,bagus apk ya,Positive
Gun Nawan,1,Gw insalll apk ini biar bisa uninstall. Soalnya lg gabut.,Negative
Ramendra R,5,keren ‘,Positive
Akardone Akardone,3,baru mau nyobaa jdi tak kasih  bintang dulu,Neutral
M H,5,Buat lu yg download cuma mau kaya kek ghozali¤¡¤¡kebeletkaya?¤¡¤¡¤¡ Lu merusak apk @sw,Positive
Egi Agustina,5,sangat bagus,Positive
Nizma Deliana,5,aplikasi yang membantu,Positive
samaung samsung,5,yt,Positive
Fareeq Hutagalung,1,Ga bisa di download,Negative
zalu ,4,Nice mate,Positive
doctor kebut,5,nice .....,Positive
Arry Bocil Channel,5,Good,Positive
Eki Badawi Rifa'i ,1,Buruk. Tutup aja ku,Negative
awi bireun,5,insfirasi bnget˜„˜„˜„˜„˜„,Positive
Burung Berkicau Sidoarjo,5,Coba coba deh instal app inisetelah selesai q buka dan q tekan menunya satu persatumasukin ewaletnya.trus kembali lagi ke opensea. Tak pikir pikir ini gimana uplot fotonya? Dan sampai sekarang masih gak mudeng saya˜­˜­˜­,Positive
Roxy Net,5,keren banget.,Positive
Han Official,5,good,Positive
Ivanranggi Damanik,5,hmm beli dong NFt saya,Positive
Ghufat Noerhakim,1,Not working eror app,Negative
eni suharni,3,Baru coba coba ternyata susah bikinnya,Neutral
SYARIFUDDIN UNIX,5,autentik,Positive
Yusep Permana,5,mantap,Positive
Kita TKI,3,sedikit kekurangan tolong di perbaiki kadang restart sendiri,Neutral
C__M. Agoestyan Dwi Saputra,5,go visit my account opensea ( RIYU_YURI ),Positive
dana dani,1,Tidak bisa diinstall di samsung j pro,Negative
Cecep Iwan,1,Wallet not support,Negative
hophop siahaan,2,Wallet mu gk secure,Negative
nur hidayat,5,mantap,Positive
Apri-Tech,5,good,Positive
Muhammad Risky Febryan,4,Mantap,Positive
Theodorus HDP,5,TOP,Positive
Affand Faldi Win,2,Nganu mas?,Negative
adom Zaenudin,1,cara jual nya gmn!kok g ada buat ngejual......,Negative
Bobi Irawan,5,bagus,Positive
Automotivation,5,Be nice.....!! ‘½,Positive
Rifky Doplek,5,aplikasi sangat bagus,Positive
Ikoh Ropikoh,4,ok...very good,Positive
looliepop channel,4,Kok gak bisa sinkron ya sama metamasknya?,Positive
NOOB YT OFFICIAL,5,Korban virall wkwk,Positive
anjas mara,5,good jobs,Positive
Muhammad Ramdan,5,Mantap,Positive
Dira Angraeni,4,saya kasi  dulu karna masih mencoba. cuman sejauh ini ok ‘Œ¼,Positive
Kept Channel,4,Saya mau jual foto selfie dengan KTP kira-kira laku gak ya ? Saya udah cape jual ktp di pinjol pegel foto selfie nya cair mah kagakk,Positive
Oppo A,3,bintang  dlu soal blum tau perkembangan apk nya,Neutral
LEMAN SULAEMAN,5,good job,Positive
Sigam Feri,5,mntap,Positive
Rlenciv,5,Gara gara ghozali w instal nih apk unch,Positive
Maseno Seno,4,lumayan goood,Positive
JAPRA TEAM,5,Good,Positive
Squid kerja GOJEK,5,Baru mau coba semoga saya berhasil mendapatkan uang dari Apk ini,Positive
Go Familiar,4,bagus,Positive
Chanel Frontal Indonesia Gaming,5,I like It,Positive
Yerry Max,5,mantap kita bisa berkarya disini ¤©‘,Positive
Nizar Entertainment,5,the best,Positive
Popy Fajri,5,Ga tau apa yg harus bilang...ini beneran apa cuma untuk meramaikan sasana dunia per donwload an..supaya banyak orang tertarik..kasih bintang  walau ga tau apa yg terjadi...,Positive
Rudy Sukron,5,good,Positive
W. ZAN Channel,3,Tidak ada salahnya untuk mencoba hal baru yang positif tentunya.,Neutral
Pace Garong,4,saksikan ASMO,Positive
"Basing Aja,5,Wow makasih dulu saya sering ingusan tapi sekarang semua itu berubah... ___karena ini aplikasi saya sekarang sudah punya mobil listrik Teslahhh hasil jualan muka saya hahaha :D˜ mantap sekali ni aplikasi wkwkwk bener bener dah legit ____Sekarang gak seperti dulu Dulu gak seperti sekarang heheheh __Saya rasa bintang  belum cukup harus saya jebolin lagi sampai bintang "" t th mn""˜ Uh yeah huba huba huba... Huba bibi huba bubu.. _Udah itu aja nulisnya capek haha˜­ Apa sih Ah uda ah,Positive"
Creative Studio,4,Semoga berhasil.,Positive
RE,5,bagus keren mantap,Positive
Nur ali,3,masih bingung gue apa arah tujuannya,Neutral
siti aisyah,3,Kenapa gak ada pilihan buat connect ke coinbase wallet??,Neutral
Yuli Cahyo,5,bagus,Positive
Eko Sulistyono,5,Alhamdulillah kalau begitu,Positive
Junanda Here,3,coba dulu,Neutral
sultan betta,5,jos,Positive
Kdewii ,1,Gk ada tombol posting bingung sy˜µ,Negative
Dhimas Bagus,3,Tolong kedepannya lebih di tingkatkan lagi supaya ga sembarangan orang masukin foto jadi rusak website ini gara orang norak asal- asal jual di sini.,Neutral
Deki Hakiki,1,In aplikasi paan SH gaje bet dah,Negative
"yulius kaharap,1,teknik dagang tingkat dewa ""NO COMMENT"",Negative"
Riska Amelia,1,Ini kok error terus yah? Padahal koneksi internet saya cukup bagus lho.,Negative
Rizael rezpector#,4,dicoba dulu. mana tau cuan,Positive
Dewa ,1,Dha gk ea cara pengaturan bhs nya. dri bhs Inggris ke bhs indo agar mudh menjalan kn nya.. Tks,Negative
Awat Panigoro,5,like,Positive
Goss Channel,1,YANG DONWLOAD UDAH DIBODOHI. SAYA UNISTAL KEMBALI. UDAH RIBET UNTUNG ENGGA. GAUSAH BELAin KALO UNTUNG HANYA ORG TERTENTU. BACA DULU KOMENAN NYA WOI JELEK KAN,Negative
Elbi Alfarisi,5,sangat bagus,Positive
Oscar TV,5,GG gaming,Positive
Media Channel Bali,5,Good for me,Positive
Romi Almon,5,Ok let's go,Positive
Asrul Qorik,3,Moga bisa jual karyaq dengan harga termAhal,Neutral
Robin Parlindungan,4,DEAR OPENSEA SAYA HARAP OPENSEA SEMAKIN BERKEMBANG DALAM PERDANGANGAN NFT .,Positive
Mr Jac,5,Banyak orang bodoh beri rating  disini menjelekkan aplikasi karena tidak tau environment NFT. Belajar dulu apa itu dunia IT lingkungan Digital Source Code Pemrograman dan semua Iptek baru bisa operasikan. Jangan karena ada berita orang dapat puluhan Milyar jadi mata hijau semua berbondong bondong ke NFT Platform lalu saat ekspektasi tidak terpenuhi malah ngomong kotor dasar udik ini semua seperti dunia nyata bagaimana anda memprogress usaha anda dan seberapa unique BISNIS anda.,Positive
Rahman Saputra,5,belum ada penggalaman,Positive
Baba Caca,5,Very good,Positive
Muhammad fardillah Dillah,3,Masa sieh,Neutral
Musih Chanel,5,sangat puas,Positive
Bagas Walkerss,5,sangat bagus,Positive
Hasan Muzzaky,1,Gak jelas,Negative
Allponco Gonzalles,5,bgs banget!!!!!!,Positive
mawardy monteiro,1,tidak bisa login :(,Negative
sugeng mustofa,1,percuma tidak bisa digunakan,Negative
Rafania Almeera,5,so many good hope and dream bismillah,Positive
Silvester Brandon,1,Error klo udah gak error bintang â­â­â­â­â­,Negative
lucu lucuan,4,oke,Positive
Senja Adriana,5,wish me luck,Positive
Den Rozzi,5,hbb,Positive
MUHA TV,1,Selamat kalian dibohongi sales,Negative
Zall Dzibril,5,mantul tul tul tul,Positive
SAY NO TO RACISM,5,So far so good,Positive
Ceo Ceo,2,Knp klo udan uninstall kok ngga bisa di download lagi,Negative
Xi Vlog,5,Cuman iseng iseng FOTO Selvi ternyata laku dan baru  minggu pakai app ini sudah dapat $,Positive
Sugeng Rusmanto,4,top,Positive
Achmad Syafii,5,Mantap,Positive
king aquarius,1,Apk jelek gk bisa di connect sekarang Uinstal aj,Negative
sidom apui,5,siip,Positive
Ahlun ,5,nft to the moon,Positive
PRASETIO LUKITO,5,great,Positive
Mr Wok,5,ok,Positive
Kristian Ekachandra,1,error connection pada android ,Negative
Mus Putricila,5,mantap mudahan selalu menjadi yg terbaik,Positive
San Fatih,5,good aplication,Positive
Taufik Andryan,1,Unname.... gmn cara masukkan foto help... me... sudah conect ke metamask tapi di opensea gak ada profil,Negative
andrean anng,5,Sangat membantu,Positive
New F Jaya Laksana,5,so far its very good,Positive
Amadi Fikri,5,semoga bisa sukses,Positive
Derry Nurmansyah,1,Fakkk ur server. It's always down and down. –•–•–•–•–•,Negative
Hendra Hendra,3,tingkat kan lebih baik dri yg sekrg,Neutral
Mata Minus,1,ini kenapa ya  pas saya buka profil trus saya cek ko karya saya cuman ada  aja tp pas saya buka opensea via trus wallet saya cek di my profil keliatan semua karya yang udah aku bikin apa emng begitu kah ?,Negative
Kandang Beton,5,good,Positive
Fuad affandi Polone,5,Saya sengaja DOWNLOAD aplikasi ini dan sekedar mengingatkan ini bukan aplikasi Pesugihan ONLINE BUKAN tuyul Virtual yang bisa menjadikan kalian KAYA dalam sekejap ¤£¤£,Positive
nanang maulana,2,Aplikasi burik,Negative
Irvan Efendi,5,Bismillah cuan,Positive
Mamet prank,5,keren mempermudah pencarian,Positive
Ujung Freedom,1,buruk,Negative
Mahdiwar,5,Hebat,Positive
Fiersa Kaku,1,Ngga aman,Negative
Ryan GMing,5,Dibodohi? kau hanya mengerti membodohi tapi tidak mengerti pandangan orang-orang seni kau tau apa? Gw tanya kau tau apa? Sono kuliah dulu jurusan dkv nanti lu bisa katakan lagi itu hal bodoh atau tidak seni bukan hanya tentang suatu hal sempurna atau bagus seni juga termasuk tentang perspective  wild imagination object illusion value abstract color composition dan tehnik lainnya semua tergantung bagaimana cara mereka memandang seni. ãƒ©ã‚¤ã‚¢ãƒ³ (Ryan),Positive
Dwi syahputra,1,Sial!!!!!!! Masa harus daftar pake hepeng meneh,Negative
oki tian,5,bagud,Positive
Mochtar cereni,3,Coba dulu ya ntar balik lagi.,Neutral
TIO CHANN,5,bagus,Positive
Suma Nto,4,oj,Positive
mmm lulu,4,good,Positive
Ali Kujiyo,1,it's not practical because you have to open opensea.io so it's a useless application,Negative
Eris Fauzi,1,Kenapa susah untuk diinstal ? Ada yang bisa bantu knp ? GALAXY AS,Negative
rildas putra,3,ok,Neutral
Alfonsus Hengky,5,Very good,Positive
Gunawan Wawan,2,Blm coba,Negative
kila kia ,5,semoga nft saya cepet laku,Positive
Game Id,5,Hmm OpenSea menurut saya bagus sih soalnya kita bisa mengekspresikan perasaan kita melalui gambarvideoatau seni yang kita buat dan bukan hanya itu OpenSea ini juga memberikan berupa penghasilan yang cukup besar. Visit My OpenSea ILHAM_NFT.,Positive
Isman Mukhtar,4,baru belajar,Positive
Achmad Dzaky Fachrie,4,lumayan,Positive
Sairan Sairan,1,Baru masuk ke menu udah ada error gimana sih ? Niat gak nih dev nya buset deh,Negative
Dwi Payana,5,Ntap,Positive
Fian Alpiansyah,3,Tutor oi cara buat jualannya gmna,Neutral
riyadiva ,5,Semoga bermanfaat dan mendapatkan tambahan rejeki,Positive
Karjon tok,5,rodo mumet sih tapi akhire iso,Positive
Frida Francisca Pasaribu,5,bagus banget,Positive
bayu septian,5,good place for you to share art or anything you can do it,Positive
Aris Minarto,5,Sengaja saya kasih bintang biar yg mau download baca. Aku sdh download dan aplikasi nya ga bisa di apain jd kita download ya sdh cuma lihat aja Login ga bisa mau apa ga bisa.... Jgn download,Positive
djoko sumawa,4,Mau tanya kok saya mau setiing profile tidak bisa..tidak ada settingan nya..bagaimana caranya ya..mksh,Positive
Rony Adrian,5,mantap,Positive
Dee Ingz,1,Gk di browser gk di aplikasi gk bisa dibuka padahal jaringan bagus.. Maaf uninstal..˜¤,Negative
RIDWAN SETIAWAN,3,Semoga bisa mengembangkan bakat bermanfaat untuk saya,Neutral
Dwi Andi Hadi Saputra,5,sukses slalu bt open sea keren bisa nambah penghasilan semoga saya jdi milyader bersama open sea trimakasih.,Positive
AsalUsul,4,Nyoba,Positive
Jatnika Ka,3,Cara buat akun nya gmn?,Neutral
Officel Fatmah,1,Ko ga bisa di download knpa sih padahal Ram sya ga penuh .. apa ya Maslah,Negative
Vicky Nugraha,5,Mau mencoba,Positive
"It's Adit,4,Saya mohon kepada devloper agar memblokir akun pengguna yang memajang foto yang tidak sepantasnya berada di Opensea ( foto selfie foto"" yang tidak memenuhi kriteria seni digital) karena itu akan merusak pasar NFT dan membuat Opensea tidak lagi dikenal sebagi tempat dipajangnya suatu karya seni.,Positive"
Munawar Munawar,5,good,Positive
SYAHRgaming,1,Kenapa gak bisa didownload ini aplikasi?,Negative
TD Chanel,5,sangat baik,Positive
Imam Wahyudi,4,Nyoba buka tpi jlimet mlakune ra mudeng kang bos... Mumet plus pening mau buka..˜‡˜‡˜‡,Positive
A. Alvyn Muyassar,5,Cukup bagus akhirnya saya cuan banyak karena menjual  gambar. Terimakasih opensea,Positive
aku regel,4,Gue kasih bintang  dulu klu beneran guatambah bintang  lagi.hahaha,Positive
nanda raffi,3,Aplikasinya eror ga bisa memuat halaman,Neutral
Po bae,4,masih dipelajari,Positive
Iskandar Putra,5,mantap,Positive
Akmar Ibrahim,5,keren,Positive
Rojak Antholin,2,gak bisa buat uploads foto hasil karya,Negative
danang tianggara,1,Eror mulu,Negative
imlaa Xz,5,good,Positive
Agust WP,5,‘‘‘‘‘,Positive
Sammy Kevin,5,so far so good,Positive
Judhay cavalera,5,Mantap,Positive
Muhamad Nurul Hadi,5,puas,Positive
Channel J,5,Sangat Keren,Positive
ANGGELITUS SURI,5,Semoga hoky,Positive
Salsabila Dan Hanifah Family,4,Coba dulu,Positive
D'Golep Channel,5,Good,Positive
Will Dreg's,5,Baik,Positive
Ruslan Bahar,5,aplikasinya mantap recommended banget‘‘,Positive
Indah Setyani,2,Menu create dimana ni bos,Negative
Fitri yanti Yanti,5,Ibu rumah tangga,Positive
Ali Rosidin,1,Gk bisa dipakek memuat,Negative
Ilham Rise UP,5,Gg,Positive
Badai Gurun,5,Wah Keren. Sy coba iseng pas nangkap gmbr kucing lagi BAB. Trs cb dipasarkan & tdk disangka ternyata dibeli sampai seharga  mobil LAMBO... & hasil dr penjualan gmbr itu sy belikan mtr NINJA ZX... Sngt menyenangkan hari pertama sy mencba motor baru mutar dikompleks & tiba ad anak kecil nyebrang jln & sy kaget lngsng ngerem mendadak & sy pun lngsng terjatuh & disitulah sy terbngun. Ternyata cm mimpi... Mas kerja jgn cm berhrp yg tdk. INSHAA ALLAH REZKI GAK AKAN KEMANA. IKHTIAR MAS¤£¤£,Positive
Rohendi hendi,2,Ko ga bisa ngapa ngpain sih ??,Negative
Syamhadi TV,5,mantap,Positive
O.B.S OUT BOX SOUND,4,for developersâš ï¸ why the app can't appear? showing only (an error occurred and we are working on it) I hope it works soon‘Œ,Positive
Wairuakira Official,4,Not bad,Positive
Endy Prasetyo,5,Foto karyaku laku  juta,Positive
Afid Arifin,5,Mantap nih pemilik aplikasi dapat cuan dari Ghozali Everyday —¿,Positive
Arfan Asking,5,sangat membantu saya,Positive
Cepy Haikal,1,Tidak ada tampilan nyagak bisa masuk profil akun gak semuanya gak bisa,Negative
Syarif andriano,5,ok lah semoga rejeki saya di sini,Positive
Andi Eka Prasetya LBD,4,Nice Market,Positive
Rayyan,1,Busuk,Negative
Joko Guntoro,3,Cukup bagus,Neutral
artha choi,5,Mantapp,Positive
Nuzula Rahma,4,Coba,Positive
Cah ngluyur,1,cara nya gimana,Negative
Segeri Segeri,4,moga gue seberuntung ghozali,Positive
"Beryl Januzaj irfandi,5,mudah""an bisa membantu,Positive"
NSU Channel,5,good app,Positive
Amin Widyarto,5,secara aplikasi bagus,Positive
Ardi Taher,1,Gak mau kebukak udah dua kali instal uninstal mentok di profil,Negative
denny dista,5,CryptoFish,Positive
Riyan ,5,Lumayan buat nyuri foto Nft wkwkkwk klo jualan mah mana mungkin bro dlu dah pernah jualan kek gni gk laku laku,Positive
axcelx ,3,Coba dulu,Neutral
Tirasa Channel,5,Bisa bikin kaya ‘‘,Positive
BadaiRimba Channel,4,sangat bagus,Positive
Mak Bray,5,Mantap,Positive
anto dawet ayu,3,Ok,Neutral
Imel_da Lesmana,1,Cara ganti nama dan uploud karya e gmna. Koq bolak balik. Balik bolak mentok wae.,Negative
Lilik Kamhar,4,Banyak Ghozali ya di sini ngab ˜…˜‚,Positive
Asep Sutisna,1,* dulu karena ga bisa dibuka mo coba instal ulang.,Negative
Bang ucup,5,mantap,Positive
sakarepku project,1,Ini apk NFT / apk eror?,Negative
Rizki saputra,5,Bagus lah !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Positive
chikideliciouz aja,5,mantap jiwa,Positive
Dian Permono,3,coba dulu,Neutral
Sokri Anto,1,Aplikasi gak jelas ‘Ž–“ Klo gak niat bikin hapus aja.. Keluhanku ya seperti mereka yg nanggapi kritis,Negative
Ijal Zaragoza,5,I need money’µ’¸’µ,Positive
Fixyku You,5,mantap,Positive
Jinan Nusi,5,Ok,Positive
Pulu pulu,4,mantap,Positive
Munadi Mudasir,5,Bagus untuk mendapatkan cuman,Positive
Zaydil Y,3,Kok tidak bisa buat nft nya ????¤”¤”¤”,Neutral
Andhika Putra Prawira,5,saran saya bisa langsung menjual karya lewat aplikasi di android saya langsung,Positive
Baby Call,5,nice,Positive
Kazuna ,5,I cant use. But ok,Positive
Ridho Ayyamin,1,Kok tulisannya an error occured and we're currently working on it,Negative
Adara Callysta,5,My Media to make Art,Positive
A. SINRANG,5,mantap,Positive
Sena Enggih,5,aplikasi yang bagus,Positive
Mar juni,5,good,Positive
yuliana nathalia,1,Habis download..gak tau mau ngapain...dan memang gak bisa ngapa ngapain. cuma liat postingan org..dan tidak ada opsi untuk mengupload file..,Negative
GUNAWAN Wibisono,5,Semoga karya foto aku menjual gorenagan lemari baju anak dan foto KTP aku dihargai mahal,Positive
ALBERT Fiando,4,apk ini sangat membantu saya jadi tau hal non fungible token walau masi pemula saya berusaha untuk menjual karya saya terimkasi ibu sudah mengizinkan saya memainkan iniâ¤,Positive
Dimas,4,Gozali,Positive
September Delapanenam,1,Error gk bisa di buka,Negative
yekti jayaningrum,2,I can't install and i don't know why. I was check my phone memory still enough for this. Would you give me solution? I will appreciated for your help. Thank you,Negative
Dede Yusup,5,ok,Positive
Dian Septryanto,5,Future,Positive
Made Riyadyana,5,top,Positive
Rizky Haidar Ramadhan ,5,Banyak yang selfie,Positive
Rstnd,5,cheers up! wish me luck thanks.,Positive
Aren Aren,3,Coba dulu,Neutral
Aie Malawatie,5,The datalist Element ,Positive
Pace kendari,2,gozali...gozali....dunia mengalihkanmuâš¡âš¡âš¡âš¡ Ï€ network¤£¤£¤£¤£,Negative
eni setiyowati,1,bangkeee gag bisa di pake....sampahhh,Negative
NINJA STORY xl,5,mantap bos qiu,Positive
yzu i,5,gud,Positive
"The Aquatic Green,5,Alhamdulilah akhirnya ada yang beli karya"" saya... udah ke beli rumah sendiri ˜Š,Positive"
indira haryudi,1,Ga bisa di download padalah hp baru,Negative
A Mel,4,Kesini karna ghozali,Positive
daldini ,5,Downloadnya lama,Positive
Aziiz Aghna,3,Udah connect wallet tp Ga ada tombol settingnya woyygimana mau edit profil sama upload !!,Neutral
Siomay Bonbon,5,Gozali everyday,Positive
Armando Hugo,1,Yang download skrg banyak orang norak uninstal deh. Moon maap banyak yang gila duit tapi jd nyampah.. tolong diseleksi lagi. Kalo udah berkualitas akan download lagi.,Negative
Dek juna,1,Tampilan yg membingungkan,Negative
Agus Setiawan,5,Demam ghozali....jualan karya seni digital...yang beli pasti orang yang tahu nilai....(orang yg bingung duitnya mau dibuang kemana),Positive
Ibrani Sasono,1,gabisa di download:(,Negative
"Idul Arumi,5,mudah"" hoki,Positive"
Rochim,5,bagus,Positive
Nevi Librianti,2,Tdk bs diinstal.... bolak balik instal g bisa pdhal jaringan wifi lancar jaya,Negative
Ivan R,5,baguss,Positive
Muhri syari Singga,5,Semoga bisa meraup keuntungan d sini untuk menyelesaikan hutang hutang ku  ibu dan ayah sebanyak kurang lebih  juta,Positive
Pengguna Google,1,G bsa d download,Negative
